Sequence Count, Start Location, End Location 
2,6179849,6179855,
2,174275359,174275365,
2,236276718,236276724,
1,1232261,1232264,
1,1750559,1750562,
1,1881730,1881733,
1,1943519,1943522,
1,2339889,2339892,
1,2876258,2876261,
1,3473268,3473271,
1,3790729,3790732,
1,4076618,4076621,
1,4238101,4238104,
1,7065747,7065750,
1,8477410,8477413,
1,8519703,8519706,
1,8804296,8804299,
1,9513619,9513622,
1,13810240,13810243,
1,14741535,14741538,
1,14968409,14968412,
1,15383810,15383813,
1,18146990,18146993,
1,22714959,22714962,
1,24130122,24130125,
1,25756377,25756380,
1,33026938,33026941,
1,33979344,33979347,
1,34628797,34628800,
1,36056609,36056612,
1,38061542,38061545,
1,40119114,40119117,
1,40887471,40887474,
1,42122170,42122173,
1,44139018,44139021,
1,45612420,45612423,
1,45850029,45850032,
1,47478174,47478177,
1,47909337,47909340,
1,53989853,53989856,
1,54300102,54300105,
1,57413028,57413031,
1,58702952,58702955,
1,59395446,59395449,
1,64590338,64590341,
1,69914827,69914830,
1,71013847,71013850,
1,71165771,71165774,
1,73542012,73542015,
1,74677155,74677158,
1,81679788,81679791,
1,82317488,82317491,
1,84438455,84438458,
1,87592266,87592269,
1,90242815,90242818,
1,91291717,91291720,
1,92294492,92294495,
1,97638962,97638965,
1,100839818,100839821,
1,101058986,101058989,
1,102923087,102923090,
1,102959888,102959891,
1,106732110,106732113,
1,107703159,107703162,
1,109393664,109393667,
1,110678831,110678834,
1,113013802,113013805,
1,115496756,115496759,
1,119729435,119729438,
1,121321756,121321759,
1,121379431,121379434,
1,152231882,152231885,
1,152485273,152485276,
1,153069444,153069447,
1,153426199,153426202,
1,154297843,154297846,
1,154543957,154543960,
1,155270959,155270962,
1,157815053,157815056,
1,158330834,158330837,
1,160206074,160206077,
1,163309805,163309808,
1,163672182,163672185,
1,164648195,164648198,
1,165676288,165676291,
1,167458069,167458072,
1,168135746,168135749,
1,170874469,170874472,
1,171422925,171422928,
1,171487357,171487360,
1,171527946,171527949,
1,172282497,172282500,
1,173321510,173321513,
1,174499975,174499978,
1,176102322,176102325,
1,176102360,176102363,
1,176102398,176102401,
1,176166821,176166824,
1,180217249,180217252,
1,181381241,181381244,
1,181482640,181482643,
1,181698914,181698917,
1,184650539,184650542,
1,188905648,188905651,
1,190414043,190414046,
1,191039716,191039719,
1,204403684,204403687,
1,206626725,206626728,
1,207688468,207688471,
1,216022756,216022759,
1,217864288,217864291,
1,227324282,227324285,
1,227619021,227619024,
1,231664160,231664163,
1,231727453,231727456,
1,232879714,232879717,
1,233591895,233591898,
1,234864797,234864800,
1,236898976,236898979,
1,240317491,240317494,
1,240507105,240507108,
1,245102266,245102269,
1,245925598,245925601,
0,11104,11104,
0,12264,12264,
0,14353,14353,
0,18731,18731,
0,19247,19247,
0,19538,19538,
0,21816,21816,
0,21947,21947,
0,23973,23973,
0,24450,24450,
0,25973,25973,
0,27440,27440,
0,27669,27669,
0,29552,29552,
0,32924,32924,
0,34122,34122,
0,34778,34778,
0,35080,35080,
0,35140,35140,
0,38064,38064,
0,38397,38397,
0,39068,39068,
0,41052,41052,
0,42085,42085,
0,43300,43300,
0,45340,45340,
0,46103,46103,
0,46240,46240,
0,47478,47478,
0,49480,49480,
0,50878,50878,
0,51186,51186,
0,51441,51441,
0,51968,51968,
0,51977,51977,
0,52364,52364,
0,53311,53311,
0,53833,53833,
0,54648,54648,
0,55906,55906,
0,56443,56443,
0,56584,56584,
0,60407,60407,
0,60573,60573,
0,61134,61134,
0,62276,62276,
0,62419,62419,
0,63721,63721,
0,66899,66899,
0,68238,68238,
0,70602,70602,
0,70664,70664,
0,70804,70804,
0,72309,72309,
0,74306,74306,
0,75569,75569,
0,76023,76023,
0,76599,76599,
0,77128,77128,
0,77460,77460,
0,79805,79805,
0,81422,81422,
0,86685,86685,
0,86874,86874,
0,88574,88574,
0,89517,89517,
0,92145,92145,
0,92740,92740,
0,94237,94237,
0,94929,94929,
0,95970,95970,
0,97868,97868,
0,98709,98709,
0,99345,99345,
0,99578,99578,
0,103987,103987,
0,109486,109486,
0,112657,112657,
0,113556,113556,
0,114224,114224,
0,116162,116162,
0,120715,120715,
0,122869,122869,
0,125266,125266,
0,125413,125413,
0,127018,127018,
0,129715,129715,
0,132298,132298,
0,133432,133432,
0,134232,134232,
0,134766,134766,
0,135030,135030,
0,135754,135754,
0,137107,137107,
0,139344,139344,
0,139593,139593,
0,141602,141602,
0,142233,142233,
0,143582,143582,
0,144525,144525,
0,148164,148164,
0,153643,153643,
0,154034,154034,
0,154960,154960,
0,156268,156268,
0,156629,156629,
0,157288,157288,
0,164086,164086,
0,164375,164375,
0,164455,164455,
0,165878,165878,
0,166493,166493,
0,168134,168134,
0,168199,168199,
0,170557,170557,
0,170633,170633,
0,173157,173157,
0,173593,173593,
0,174169,174169,
0,175981,175981,
0,227621,227621,
0,228191,228191,
0,231417,231417,
0,232473,232473,
0,233634,233634,
0,237818,237818,
0,238472,238472,
0,239068,239068,
0,240565,240565,
0,242305,242305,
0,245044,245044,
0,245659,245659,
0,245892,245892,
0,250304,250304,
0,252847,252847,
0,254641,254641,
0,254925,254925,
0,255807,255807,
0,258974,258974,
0,259873,259873,
0,260541,260541,
0,262479,262479,
0,267036,267036,
0,319123,319123,
0,320254,320254,
0,321132,321132,
0,322139,322139,
0,322199,322199,
0,322227,322227,
0,324539,324539,
0,324788,324788,
0,325095,325095,
0,327024,327024,
0,327597,327597,
0,328321,328321,
0,328585,328585,
0,329119,329119,
0,329915,329915,
0,330149,330149,
0,330707,330707,
0,331049,331049,
0,332691,332691,
0,333632,333632,
0,336331,336331,
0,337932,337932,
0,338079,338079,
0,340452,340452,
0,342606,342606,
0,347165,347165,
0,349102,349102,
0,350669,350669,
0,353302,353302,
0,354393,354393,
0,355916,355916,
0,356059,356059,
0,358978,358978,
0,360631,360631,
0,361412,361412,
0,362280,362280,
0,363082,363082,
0,363634,363634,
0,366104,366104,
0,367972,367972,
0,368311,368311,
0,369598,369598,
0,371084,371084,
0,372051,372051,
0,373974,373974,
0,375828,375828,
0,376570,376570,
0,379577,379577,
0,380720,380720,
0,381290,381290,
0,383658,383658,
0,384261,384261,
0,384437,384437,
0,384514,384514,
0,384591,384591,
0,384668,384668,
0,384745,384745,
0,384822,384822,
0,384899,384899,
0,384976,384976,
0,385053,385053,
0,385130,385130,
0,385207,385207,
